ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS,RCTName,PROName,RGTName,CATName,SOLName
31-614-CAS-35485660,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65.0,0.317,70,NNc1ccccc1 . CCOC(=O)CC(C)=O . N#CCC#N . O=Cc1ccc(Cl)cc1Cl,Cc1nn(-c2ccccc2)c2c1C(c1ccc(Cl)cc1Cl)C(C#N)=C(N)O2,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 591-50-4 + 10075-50-0 | PRO: 504424-70-8 | CAT: 142-71-2 + 2903480-90-8,"[""591-50-4"", ""10075-50-0""]","[""504424-70-8""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35485661,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65.0,0.283,65,NNc1ccccc1 . CCOC(=O)CC(C)=O . O=Cc1ccc(Cl)cc1 . N#CCC#N,Cc1nn(-c2ccccc2)c2c1C(c1ccc(Cl)cc1)C(C#N)=C(N)O2,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 109-97-7 + 3049367-25-8 | PRO: 3049367-31-6 | CAT: 142-71-2 + 2903480-90-8,"[""109-97-7"", ""3049367-25-8""]","[""3049367-31-6""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35485664,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65.0,0.3,63,NNc1ccccc1 . CCOC(=O)CC(C)=O . N#CCC#N . O=Cc1ccccc1F,Cc1nn(-c2ccccc2)c2c1C(c1ccccc1F)C(C#N)=C(N)O2,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 109-04-6 + 288-32-4 | PRO: 25700-14-5 | CAT: 142-71-2 + 2903480-90-8,"[""109-04-6"", ""Unresolved CAS 288-32-4""]","[""25700-14-5""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35485676,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65.0,0.25,69,NNc1ccccc1 . N#CCC#N . O=Cc1ccc(Cl)cc1Cl,N#Cc1c(-c2ccc(Cl)cc2Cl)nn(-c2ccccc2)c1N,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 52737-46-9 + 1254083-85-6 | PRO: 3038685-11-6 | CAT: 142-71-2 + 2903480-90-8,"[""52737-46-9"", ""1254083-85-6""]","[""3038685-11-6""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35838766,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""KOH""]","[""BASE""]","[""DMSO""]",100.0,6.0,52,c1ccc2[nH]cnc2c1 . Ic1ccccc1,c1ccc(-n2cnc3ccccc32)cc1,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu/Polyaniline/KOH/DMSO,e02ee0d6,e02ee0d6,RCT: 870-46-2 + 83846-48-4 | PRO: 3026022-13-6 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""870-46-2"", ""83846-48-4""]","[""3026022-13-6""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838767,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""KOH""]","[""BASE""]","[""DMSO""]",100.0,4.0,51,c1ccc2[nH]ccc2c1 . Ic1ccccc1,c1ccc(-n2ccc3ccccc32)cc1,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu/Polyaniline/KOH/DMSO,e02ee0d6,e02ee0d6,RCT: 23746-81-8 + 591-50-4 | PRO: 1661871-06-2 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""23746-81-8"", ""591-50-4""]","[""1661871-06-2""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838771,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""KOH""]","[""BASE""]","[""DMSO""]",100.0,11.0,68,Ic1ccccc1 . Cc1ncc[nH]1,Cc1nccn1-c1ccccc1,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu/Polyaniline/KOH/DMSO,e02ee0d6,e02ee0d6,RCT: 1810770-12-7 + 3055538-89-8 | PRO: 3055538-99-0 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""1810770-12-7"", ""3055538-89-8""]","[""3055538-99-0""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838777,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""KOH""]","[""BASE""]","[""DMSO""]",100.0,15.0,51,c1ccc(Nc2ccccc2)cc1 . Ic1ccccc1,c1ccc(N(c2ccccc2)c2ccccc2)cc1,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu/Polyaniline/KOH/DMSO,e02ee0d6,e02ee0d6,RCT: 81411-68-9 + 2923758-60-3 | PRO: 2923758-63-6 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""81411-68-9"", ""2923758-60-3""]","[""2923758-63-6""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-36318204,Ullmann,"[""S1)copper"", ""Iridium(1+)""]","[""Cu"", ""Ir""]","[""4"", ""7-Diphenyl-1"", ""10-phenanthroline"", ""(2-Thiophenecarboxylato-O2"", ""[4"", ""4-bis(1"", ""1-dimethylethyl)-2"", ""2-bipyridine-N1"", ""N1]bis[5-fluoro-2-(5-methyl-2-pyridinyl-N)phenyl-C]-"", ""(OC-6-33)-"", ""hexafluorophosphate(1-) (1:1)""]",[],[],"[""Dioxane""]",25.0,1.05,51,Brc1n[nH]c2nccnc12 . Cc1cc(C)c(I(OC(=O)C2CC(c3cncc(-n4cccn4)n3)C2)OC(=O)C2CC(c3cncc(-n4cccn4)n3)C2)c(C)c1,Brc1nn(C2CC(c3cncc(-n4cccn4)n3)C2)c2nccnc12,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu+Ir/(2-Thiophenecarboxylato-O2+(OC-6-33)-+1-dimethylethyl)-2+10-phenanthroline+2-bipyridine-N1+4+4-bis(1+7-Diphenyl-1+N1]bis[5-fluoro-2-(5-methyl-2-pyridinyl-N)phenyl-C]-+[4+hexafluorophosphate(1-) (1:1)/none/Dioxane,51b46862,51b46862,RCT: 109-04-6 + 142-08-5 | PRO: 3480-65-7 | CAT: 1662-01-7 + 68986-76-5 + 808142-88-3 | SOL: 123-91-1,"[""109-04-6"", ""142-08-5""]","[""3480-65-7""]",[],"[""Unresolved CAS 1662-01-7"", ""Unresolved CAS 68986-76-5"", ""Unresolved CAS 808142-88-3""]","[""1,4-Dioxane""]"
31-614-CAS-36318269,Ullmann,"[""S1)copper"", ""fac-Tris(2-(2-pyridinyl)phenyl)iridium""]","[""Cu"", ""Ir""]","[""4"", ""7-Diphenyl-1"", ""10-phenanthroline"", ""(2-Thiophenecarboxylato-O2""]",[],[],"[""Dioxane""]",25.0,1.05,52,c1ccc(-c2cn[nH]n2)cc1 . Cc1cc(C)c(I(OC(=O)C2CCOC(c3ccc(C(F)(F)F)nc3)C2)OC(=O)C2CCOC(c3ccc(C(F)(F)F)nc3)C2)c(C)c1,FC(F)(F)c1ccc([C@@H]2C[C@H](n3ncc(-c4ccccc4)n3)CCO2)cn1 . FC(F)(F)c1ccc([C@@H]2C[C@@H](n3ncc(-c4ccccc4)n3)CCO2)cn1,"ACS Applied Polymer Materials (2024), 6(9), 5256-5267. | Chern, Yaw-Terng; et al | ACS Applied Polymer Materials (2024), 6(9), 5256-5267.",Cu+Ir/(2-Thiophenecarboxylato-O2+10-phenanthroline+4+7-Diphenyl-1/none/Dioxane,1b153e53,1b153e53,RCT: 2897656-97-0 + 110-91-8 + 623-12-1 | PRO: 27347-14-4 + 3056929-84-8 + 3056929-85-9 | CAT: 1662-01-7 + 68986-76-5 + 94928-86-6 | SOL: 123-91-1,"[""Unresolved CAS 2897656-97-0"", ""110-91-8"", ""623-12-1""]","[""27347-14-4"", ""3056929-84-8"", ""3056929-85-9""]",[],"[""Unresolved CAS 1662-01-7"", ""Unresolved CAS 68986-76-5"", ""Unresolved CAS 94928-86-6""]","[""1,4-Dioxane""]"
