ReactionID,ReactionType,CatalystCoreDetail,CatalystCoreGeneric,Ligand,Reagent,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS,RawData,RCTName,PROName,RGTName,CATName,SOLName
31-172-CAS-23065394,Buchwald,"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]","[""Pd""]","[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]","[""Sodium tert-butoxide|865-48-5""]","[""BASE""]","[""Toluene|108-88-3""]",105.0,,94,CC1(C)c2ccccc2Nc2ccccc21 . CCCCCCCCc1ccc(Br)cc1,CCCCCCCCc1ccc(N2c3ccccc3C(C)(C)c3ccccc32)cc1,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.",Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Sodium tert-butoxide|865-48-5/Toluene|108-88-3,,,RCT: 2848653-16-5 | PRO: 2851430-37-8 | RGT: 865-48-5 | CAT: 51364-51-3 + 131274-22-1 | SOL: 108-88-3,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23065394"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Toluene; 105 °C"", ""99. Scheme 99 (1 Reaction)"", ""Double bond geometry shown"", ""Enantioselective Synthesis of N-N Bisindole Atropisomers"", ""By: Zhang, Peng; et al"", ""Angewandte Chemie, International Edition (2022), 61(44), e202212101."", ""10.1002/anie.202212101"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2848653-16-5""], ""pro_cas"": [""2851430-37-8""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""131274-22-1""], ""sol_cas"": [""108-88-3""], ""notes"": []}}","[""2848653-16-5""]","[""2851430-37-8""]","[""865-48-5""]","[""Tris(dibenzylideneacetone)dipalladium""]","[""108-88-3""]"
31-172-CAS-23070673,Buchwald,"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]","[""Pd""]","[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]","[""Sodium tert-butoxide|865-48-5""]","[""BASE""]","[""Toluene|108-88-3""]",105.0,,100,CCCCCCCCc1ccc(Br)cc1 . COc1ccc2c(c1)C(C)(C)c1cc(OC)ccc1N2,CCCCCCCCc1ccc(N2c3ccc(OC)cc3C(C)(C)c3cc(OC)ccc32)cc1,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.",Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Sodium tert-butoxide|865-48-5/Toluene|108-88-3,,,RCT: 2566779-53-9 + 2769113-46-2 | PRO: 2769113-70-2 | RGT: 865-48-5 | CAT: 51364-51-3 + 131274-22-1 | SOL: 108-88-3,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23070673"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Toluene; 105 °C"", ""2. Scheme 2 (1 Reaction)"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Discovery of MK-1468: A Potent, Kinome-Selective, Brain-Penetrant Amidoisoquinoline LRRK2 Inhibitor for the Potential Treatment of Parkinson’s Disease"", ""By: Kattar, Solomon D.; et al"", ""Journal of Medicinal Chemistry (2023), 66(21), 14912-14927."", ""10.1021/acs.jmedchem.3c01486"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2566779-53-9"", ""2769113-46-2""], ""pro_cas"": [""2769113-70-2""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""131274-22-1""], ""sol_cas"": [""108-88-3""], ""notes"": []}}","[""2566779-53-9"", ""2769113-46-2""]","[""2769113-70-2""]","[""865-48-5""]","[""Tris(dibenzylideneacetone)dipalladium""]","[""108-88-3""]"
31-172-CAS-23129035,Buchwald,"[""1|12150-46-8"", ""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]","[""1-Bis(diphenylphosphino)ferrocene"", ""Pd""]","[""1,1-Bis(diphenylphosphino)ferrocene|""]","[""Sodium tert-butoxide|865-48-5""]","[""BASE""]","[""Toluene|108-88-3""]",150.0,48.0,83,FC(F)(F)c1cc(Br)cc(Br)c1 . CNc1ccccn1,CN(c1cc(N(C)c2ccccn2)cc(C(F)(F)F)c1)c1ccccn1,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.","1-Bis(diphenylphosphino)ferrocene+Pd/1,1-Bis(diphenylphosphino)ferrocene|/Sodium tert-butoxide|865-48-5/Toluene|108-88-3",,,RCT: 623-08-5 + 33892-67-0 | PRO: 2604236-28-2 | RGT: 865-48-5 | CAT: 12150-46-8 + 51364-51-3 | SOL: 108-88-3,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""1,1-Bis(diphenylphosphino)ferrocene"", ""Tris(dibenzylideneacetone)dipalladium""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23129035"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: 1,1-Bis(diphenylphosphino)ferrocene, Tris(dibenzylideneacetone)dipalladium"", ""Solvents: Toluene; 48 h, 150 °C"", ""463. Scheme 463 (1 Reaction)"", ""Hydroaminoalkylation/Buchwald-Hartwig Amination Sequences for the Synthesis of Novel Thieno- or Benzothieno-Annulated Tetrahydropyridines, Tetrahydroazasilines, and Tetrahydroazasilepines"", ""By: Warsitz, Michael; et al"", ""European Journal of Organic Chemistry (2021), 2021(5), 830-849."", ""10.1002/ejoc.202001523"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""623-08-5"", ""33892-67-0""], ""pro_cas"": [""2604236-28-2""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""12150-46-8"", ""51364-51-3""], ""sol_cas"": [""108-88-3""], ""notes"": [""thermal, reaction in a sealed pressure tube""]}}","[""623-08-5"", ""33892-67-0""]","[""2604236-28-2""]","[""865-48-5""]","[""1"", ""Tris(dibenzylideneacetone)dipalladium""]","[""108-88-3""]"
31-172-CAS-23131685,Buchwald,"[""1|12150-46-8"", ""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]","[""1-Bis(diphenylphosphino)ferrocene"", ""Pd""]","[""1,1-Bis(diphenylphosphino)ferrocene|""]","[""Sodium tert-butoxide|865-48-5""]","[""BASE""]","[""Toluene|108-88-3""]",130.0,24.0,88,FC(F)(F)c1cc(Br)cc(Br)c1 . CNc1cc(C)ccn1,Cc1ccnc(N(C)c2cc(N(C)c3cc(C)ccn3)cc(C(F)(F)F)c2)c1,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.","1-Bis(diphenylphosphino)ferrocene+Pd/1,1-Bis(diphenylphosphino)ferrocene|/Sodium tert-butoxide|865-48-5/Toluene|108-88-3",,,RCT: 2848653-02-9 | PRO: 2851430-23-2 | RGT: 865-48-5 | CAT: 12150-46-8 + 51364-51-3 | SOL: 108-88-3,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""1,1-Bis(diphenylphosphino)ferrocene"", ""Tris(dibenzylideneacetone)dipalladium""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23131685"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: 1,1-Bis(diphenylphosphino)ferrocene, Tris(dibenzylideneacetone)dipalladium"", ""Solvents: Toluene; 24 h, 130 °C"", ""262. Scheme 262 (1 Reaction)"", ""Double bond geometry shown"", ""Enantioselective Synthesis of N-N Bisindole Atropisomers"", ""By: Zhang, Peng; et al"", ""Angewandte Chemie, International Edition (2022), 61(44), e202212101."", ""10.1002/anie.202212101"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2848653-02-9""], ""pro_cas"": [""2851430-23-2""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""12150-46-8"", ""51364-51-3""], ""sol_cas"": [""108-88-3""], ""notes"": [""thermal, reaction in a sealed pressure tube""]}}","[""2848653-02-9""]","[""2851430-23-2""]","[""865-48-5""]","[""1"", ""Tris(dibenzylideneacetone)dipalladium""]","[""108-88-3""]"
31-172-CAS-23131761,Buchwald,"[""1|12150-46-8"", ""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]","[""1-Bis(diphenylphosphino)ferrocene"", ""Pd""]","[""1,1-Bis(diphenylphosphino)ferrocene|""]","[""Sodium tert-butoxide|865-48-5""]","[""BASE""]","[""Toluene|108-88-3""]",130.0,24.0,98,Brc1cccc(Br)c1 . CNc1cc(C(F)(F)F)ccn1,CN(c1cccc(N(C)c2cc(C(F)(F)F)ccn2)c1)c1cc(C(F)(F)F)ccn1,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.","1-Bis(diphenylphosphino)ferrocene+Pd/1,1-Bis(diphenylphosphino)ferrocene|/Sodium tert-butoxide|865-48-5/Toluene|108-88-3",,,RCT: 2715166-91-7 | PRO: 2718204-59-0 | RGT: 865-48-5 | CAT: 12150-46-8 + 51364-51-3 | SOL: 108-88-3,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""1,1-Bis(diphenylphosphino)ferrocene"", ""Tris(dibenzylideneacetone)dipalladium""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23131761"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: 1,1-Bis(diphenylphosphino)ferrocene, Tris(dibenzylideneacetone)dipalladium"", ""Solvents: Toluene; 24 h, 130 °C"", ""24. Scheme 24 (1 Reaction)"", ""Enantioselective Synthesis of Atropisomeric Biaryls by Pd-Catalyzed Asymmetric Buchwald-Hartwig Amination"", ""By: Zhang, Peng; et al"", ""Angewandte Chemie, International Edition (2021), 60(40), 21718-21722."", ""10.1002/anie.202108747"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2715166-91-7""], ""pro_cas"": [""2718204-59-0""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""12150-46-8"", ""51364-51-3""], ""sol_cas"": [""108-88-3""], ""notes"": [""thermal, reaction in a sealed pressure tube""]}}","[""2715166-91-7""]","[""2718204-59-0""]","[""865-48-5""]","[""1"", ""Tris(dibenzylideneacetone)dipalladium""]","[""108-88-3""]"
31-172-CAS-23214307,Buchwald,"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]","[""Pd""]","[""Dicyclohexyl[3,6-dimethoxy-2′,4′,6′-tris(1-methylethyl)[1,1′-biphenyl]-2-yl]phosphine|1070663-78-3""]","[""19533-24-5|19533-24-5"", ""1-Butanol|"", ""3-methyl-|"", ""sodium salt (1:1)|""]","[""UNK""]","[""Toluene|108-88-3""]",80.0,18.0,84,Clc1ccccn1 . COc1ccc(CNCCN(C)C)cc1,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.","Pd/Dicyclohexyl[3,6-dimethoxy-2′,4′,6′-tris(1-methylethyl)[1,1′-biphenyl]-2-yl]phosphine|1070663-78-3/1-Butanol|+19533-24-5|19533-24-5+3-methyl-|+sodium salt (1:1)|/Toluene|108-88-3",,,RCT: 2250039-81-5 + 3036652-68-0 | PRO: 3036652-69-1 | RGT: 19533-24-5 | CAT: 51364-51-3 + 1070663-78-3 | SOL: 108-88-3,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""1-Butanol"", ""3-methyl-"", ""sodium salt (1:1)""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""Dicyclohexyl[3,6-dimethoxy-2′,4′,6′-tris(1-methylethyl)[1,1′-biphenyl]-2-yl]phosphine""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23214307"", ""1.1"", ""Reagents: 1-Butanol, 3-methyl-, sodium salt (1:1)"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, Dicyclohexyl[3,6-dimethoxy-2′,4′,6′-tris(1-methylethyl)[1,1′-biphenyl]-2-yl]phosphine"", ""Solvents: Toluene; 18 h, 80 °C"", ""425. Scheme 425 (1 Reaction)"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Discovery and Optimization of DNA Gyrase and Topoisomerase IV Inhibitors with Potent Activity against Fluoroquinolone-Resistant Gram-Positive Bacteria"", ""By: Lapointe, Guillaume; et al"", ""Journal of Medicinal Chemistry (2021), 64(9), 6329-6357."", ""10.1021/acs.jmedchem.1c00375"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2250039-81-5"", ""3036652-68-0""], ""pro_cas"": [""3036652-69-1""], ""rgt_cas"": [""19533-24-5""], ""cat_cas"": [""51364-51-3"", ""1070663-78-3""], ""sol_cas"": [""108-88-3""], ""notes"": [""reaction in a Schlenk tube, glove box used""]}}","[""2250039-81-5"", ""3036652-68-0""]","[""3036652-69-1""]","[""19533-24-5""]","[""Tris(dibenzylideneacetone)dipalladium""]","[""108-88-3""]"
31-172-CAS-23227685,Buchwald,"[""Palladium diacetate|3375-31-3""]","[""Pd""]","[""[2′,6′-Bis(1-methylethoxy)[1,1′-biphenyl]-2-yl]dicyclohexylphosphine|787618-22-8""]","[""Sodium tert-butoxide|865-48-5""]","[""BASE""]",[],110.0,12.0,90,CNc1ccccc1 . [2H]c1c([2H])c(OC)c([2H])c([2H])c1Br,[2H]c1c([2H])c(N(C)c2ccccc2)c([2H])c([2H])c1OC,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.","Pd/[2′,6′-Bis(1-methylethoxy)[1,1′-biphenyl]-2-yl]dicyclohexylphosphine|787618-22-8/Sodium tert-butoxide|865-48-5/none",,,RCT: 92-84-2 + 452-63-1 | PRO: 2888555-70-0 | RGT: 865-48-5 | CAT: 3375-31-3 + 787618-22-8,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Palladium diacetate"", ""[2′,6′-Bis(1-methylethoxy)[1,1′-biphenyl]-2-yl]dicyclohexylphosphine""], ""solvents"": [], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23227685"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Palladium diacetate, [2′,6′-Bis(1-methylethoxy)[1,1′-biphenyl]-2-yl]dicyclohexylphosphine; 12 h, 110 °C"", ""196. Scheme 196 (1 Reaction)"", ""The Effect of Molecular Conformations and Simulated “Self-Doping” in Phenothiazine Derivatives on Room-Temperature Phosphorescence"", ""By: Gao, Mingxue; et al"", ""Angewandte Chemie, International Edition (2023), 62(5), e202214908."", ""10.1002/anie.202214908"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""92-84-2"", ""452-63-1""], ""pro_cas"": [""2888555-70-0""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""3375-31-3"", ""787618-22-8""], ""sol_cas"": [], ""notes"": [""reaction in a sealed vial""]}}","[""92-84-2"", ""452-63-1""]","[""2888555-70-0""]","[""865-48-5""]","[""Palladium diacetate""]",[]
31-172-CAS-23233325,Buchwald,"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]","[""Pd""]","[""X-Phos|564483-18-7""]","[""Sodium tert-butoxide|865-48-5""]","[""BASE""]","[""Toluene|108-88-3""]",90.0,12.0,88,C1CNCCN1 . Brc1cccc2ccncc12,c1cc(N2CCNCC2)c2cnccc2c1,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.",Pd/X-Phos|564483-18-7/Sodium tert-butoxide|865-48-5/Toluene|108-88-3,,,RCT: 2715168-02-6 | PRO: 2718205-48-0 | RGT: 865-48-5 | CAT: 51364-51-3 + 564483-18-7 | SOL: 108-88-3,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""X-Phos""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23233325"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, X-Phos"", ""Solvents: Toluene; 12 h, rt → 90 °C"", ""294. Scheme 294 (1 Reaction)"", ""Enantioselective Synthesis of Atropisomeric Biaryls by Pd-Catalyzed Asymmetric Buchwald-Hartwig Amination"", ""By: Zhang, Peng; et al"", ""Angewandte Chemie, International Edition (2021), 60(40), 21718-21722."", ""10.1002/anie.202108747"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2715168-02-6""], ""pro_cas"": [""2718205-48-0""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""564483-18-7""], ""sol_cas"": [""108-88-3""], ""notes"": [""Buchwald-Hartwig amination""]}}","[""2715168-02-6""]","[""2718205-48-0""]","[""865-48-5""]","[""Tris(dibenzylideneacetone)dipalladium""]","[""108-88-3""]"
31-172-CAS-23234276,Buchwald,"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]","[""Pd""]","[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]","[""Sodium tert-butoxide|865-48-5""]","[""BASE""]","[""Toluene|108-88-3""]",120.0,24.0,87,CC1(C)c2ccccc2Nc2ccccc21 . CC(C)(C)c1ccc2c(c1)-c1cc(C(C)(C)C)ccc1C21C(=O)C=Cc2ccc(Br)cc21,CC(C)(C)c1ccc2c(c1)-c1cc(C(C)(C)C)ccc1C21C(=O)C=Cc2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.",Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Sodium tert-butoxide|865-48-5/Toluene|108-88-3,,,RCT: 2715167-09-0 | PRO: 2718204-70-5 | RGT: 865-48-5 | CAT: 51364-51-3 + 131274-22-1 | SOL: 108-88-3,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23234276"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Toluene; 24 h, 120 °C"", ""324. Scheme 324 (1 Reaction)"", ""Enantioselective Synthesis of Atropisomeric Biaryls by Pd-Catalyzed Asymmetric Buchwald-Hartwig Amination"", ""By: Zhang, Peng; et al"", ""Angewandte Chemie, International Edition (2021), 60(40), 21718-21722."", ""10.1002/anie.202108747"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2715167-09-0""], ""pro_cas"": [""2718204-70-5""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""131274-22-1""], ""sol_cas"": [""108-88-3""], ""notes"": []}}","[""2715167-09-0""]","[""2718204-70-5""]","[""865-48-5""]","[""Tris(dibenzylideneacetone)dipalladium""]","[""108-88-3""]"
31-172-CAS-23234465,Buchwald,"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]","[""Pd""]","[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]","[""Sodium tert-butoxide|865-48-5""]","[""BASE""]","[""Toluene|108-88-3""]",120.0,24.0,85,CC1(C)c2ccccc2Nc2ccccc21 . O=C1C=Cc2ccc(Br)cc2C12c1ccccc1-c1ccccc12,CC1(C)c2ccccc2N(c2ccc3c(c2)C2(C(=O)C=C3)c3ccccc3-c3ccccc32)c2ccccc21,"Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.",Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Sodium tert-butoxide|865-48-5/Toluene|108-88-3,,,RCT: 91-21-4 + 591-17-3 | PRO: 1057280-25-7 | RGT: 865-48-5 | CAT: 51364-51-3 + 131274-22-1 | SOL: 108-88-3,"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23234465"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Toluene; 24 h, 120 °C"", ""383. Scheme 383 (1 Reaction)"", ""Electrochemically-Driven Organocatalytic Enantioselective Oxidative Coupling of Tetrahydroisoquinolines and Acrylaldehyde"", ""By: Zhang, Qi-Ying; et al"", ""Advanced Synthesis & Catalysis (2023), 365(20), 3455-3460."", ""10.1002/adsc.202300766"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""91-21-4"", ""591-17-3""], ""pro_cas"": [""1057280-25-7""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""131274-22-1""], ""sol_cas"": [""108-88-3""], ""notes"": []}}","[""91-21-4"", ""591-17-3""]","[""1057280-25-7""]","[""865-48-5""]","[""Tris(dibenzylideneacetone)dipalladium""]","[""108-88-3""]"
