ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS
RXN000001,Buchwald,[],"[""Pd""]","[""none""]","[""Cs2CO3"", ""98327-87-8""]","[""BASE"", ""UNK""]","[""Dioxane""]",,,100.0,"[""CC(C)(C)OC(=O)N1CCNCC1"", ""CCOC(=O)c1cn(-c2ccc(Br)cc2C#N)cc(OCc2ccccc2)c1=O""]","[""CCOC(=O)c1cn(-c2ccc(N3CCN(C(=O)OC(C)(C)C)CC3)cc2C#N)cc(OCc2ccccc2)c1=O""]","ACS Medicinal Chemistry Letters (2024), 15(7), 1151-1158",Pd/none/Cs2CO3+98327-87-8/Dioxane,32FB5CF2,276035B2,52522-40-4 + 534-17-8 + 98327-87-8 + 123-91-1
RXN000002,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,"[""Brc1cscn1"", ""CNCc1cccc(-n2nc(C)cc2C)c1""]","[""Cc1cc(C)n(-c2cccc(CN(C)c3cscn3)c2)n1""]","Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000003,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,"[""Brc1cscn1"", ""CC(=O)NC[C@]12CNC[C@H]1c1c(F)cccc1OC2""]","[""CC(=O)NC[C@]12COc3cccc(F)c3[C@H]1CN(c1cscn1)C2""]","Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000004,Buchwald,[],"[""Pd""]","[""none""]","[""NH4Cl""]","[""BASE""]","[""THF"", ""H2O""]",,,100.0,"[""c1ccc(CNCc2ccccc2)cc1"", ""CS(=O)(=O)OC1C=CC(F)(F)C1(F)F""]","[""FC1(F)C=CC(N(Cc2ccccc2)Cc2ccccc2)C1(F)F""]","Journal of Fluorine Chemistry (2024), 273110234",Pd/none/NH4Cl/THF+H2O,6670DF31,6670DF31,6163-58-2 + 52522-40-4 + 12125-02-9 + 109-99-9 + 7732-18-5
RXN000005,Buchwald,[],"[""Pd""]","[""none""]","[""NH4Cl""]","[""BASE""]","[""THF"", ""H2O""]",,,100.0,"[""C1COCCN1"", ""CS(=O)(=O)OC1C=CC(F)(F)C1(F)F""]","[""FC1(F)C=CC(N2CCOCC2)C1(F)F""]","Journal of Fluorine Chemistry (2024), 273110234",Pd/none/NH4Cl/THF+H2O,6670DF31,6670DF31,6163-58-2 + 52522-40-4 + 12125-02-9 + 109-99-9 + 7732-18-5
RXN000006,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,"[""C(=Cc1ccccc1)CN1CCNCC1"", ""Brc1cscn1""]","[""C(=Cc1ccccc1)CN1CCN(c2cscn2)CC1""]","Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000007,Buchwald,[],"[""Pd""]","[""none""]","[""NH4Cl""]","[""BASE""]","[""THF"", ""H2O""]",,,100.0,"[""CNc1ccccc1"", ""CS(=O)(=O)OC1C=CC(F)(F)C1(F)F""]","[""CN(c1ccccc1)C1C=CC(F)(F)C1(F)F""]","Journal of Fluorine Chemistry (2024), 273110234",Pd/none/NH4Cl/THF+H2O,6670DF31,6670DF31,6163-58-2 + 52522-40-4 + 12125-02-9 + 109-99-9 + 7732-18-5
RXN000008,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,"[""Clc1ccc(C(c2ccccc2)N2CCNCC2)cc1"", ""Brc1cscn1""]","[""Clc1ccc(C(c2ccccc2)N2CCN(c3cscn3)CC2)cc1""]","Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000009,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""Xantphos""]","[""Cs2CO3""]","[""BASE""]","[""Dioxane""]",,,100.0,"[""CN1CCNCC1"", ""COc1ccc(Cn2cnc3ccc(I)cc3c2=O)cc1""]","[""COc1ccc(Cn2cnc3ccc(N4CCN(C)CC4)cc3c2=O)cc1""]","ACS Medicinal Chemistry Letters (2023), 14(12), 1760-1766",Pd/Xantphos/Cs2CO3/Dioxane,6EFCEADE,6EFCEADE,51364-51-3 + 161265-03-8 + 534-17-8 + 123-91-1
RXN000010,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,"[""Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2"", ""Brc1cscn1""]","[""Clc1ccc2c(c1)C(N1CCN(c3cscn3)CC1)=Nc1ccccc1O2""]","Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000011,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,"[""CNCCc1ccc(OC)c(OC)c1"", ""Brc1cscn1""]","[""COc1ccc(CCN(C)c2cscn2)cc1OC""]","Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000012,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,"[""C1CCNCC1"", ""CC(C)N1CCCc2cc(Br)nn2C1=O""]","[""CC(C)N1CCCc2cc(N3CCCCC3)nn2C1=O""]","Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000013,Buchwald,[],"[""Pd""]","[""none""]","[""NaOtBu""]","[""BASE""]","[""Tol""]",,,100.0,"[""Brc1ccccc1"", ""C1CC2(CCN1)OCCO2""]","[""c1ccc(N2CCC3(CC2)OCCO3)cc1""]","Bioorganic & Medicinal Chemistry Letters (2024), 111129891",Pd/none/NaOtBu/Tol,F22A19A8,F22A19A8,52522-40-4 + 657408-07-6 + 865-48-5 + 108-88-3
RXN000014,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""RuPhos""]","[""NaOtBu""]","[""BASE""]","[""Tol""]",,,100.0,"[""Fc1ccc(Br)cc1"", ""CC(C)(C)OC(=O)N1CCNCC1""]","[""CC(C)(C)OC(=O)N1CCN(c2ccc(F)cc2)CC1""]","RSC Advances (2024), 14(53), 39645-39652",Pd/RuPhos/NaOtBu/Tol,B5968013,B5968013,51364-51-3 + 787618-22-8 + 865-48-5 + 108-88-3
RXN000015,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,"[""CC(C)c1ccccc1NC(=CC(=O)c1ccccc1Br)c1ccc(C(F)(F)F)cc1""]","[""CC(C)c1ccccc1-n1c(-c2ccc(C(F)(F)F)cc2)cc(=O)c2ccccc21""]","Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
RXN000016,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,"[""O=C(C=C(Nc1ccccc1-c1ccccc1)c1ccccc1)c1ccccc1Br""]","[""O=c1cc(-c2ccccc2)n(-c2ccccc2-c2ccccc2)c2ccccc12""]","Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
RXN000017,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,"[""CC(C)c1ccccc1NC(=CC(=O)c1ccc(F)cc1Br)c1ccccc1""]","[""CC(C)c1ccccc1-n1c(-c2ccccc2)cc(=O)c2ccc(F)cc21""]","Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
RXN000018,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""XPhos""]","[""NaOtBu"", ""NH4Cl""]","[""BASE"", ""BASE""]","[""Tol"", ""H2O""]",,,99.0,"[""C1CCNCC1"", ""CCCCn1c(N(C)C)cc(/C(F)=C(\\F)C(F)(F)C(F)(F)F)c1-c1ccc(Br)cc1""]","[""CCCCn1c(N(C)C)cc(/C(F)=C(\\F)C(F)(F)C(F)(F)F)c1-c1ccc(N2CCCCC2)cc1""]","Chemical Science (2024), 15(30), 12026-12035",Pd/XPhos/NaOtBu+NH4Cl/Tol+H2O,2D5BFD2E,2D5BFD2E,3375-31-3 + 564483-18-7 + 865-48-5 + 12125-02-9 + 108-88-3 + 7732-18-5
RXN000019,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,"[""Cc1ccc(C(=O)C=C(Nc2ccccc2C(C)C)c2ccccc2)c(Br)c1""]","[""Cc1ccc2c(=O)cc(-c3ccccc3)n(-c3ccccc3C(C)C)c2c1""]","Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
RXN000020,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,"[""CCc1ccccc1NC(=CC(=O)c1ccccc1Br)c1ccccc1""]","[""CCc1ccccc1-n1c(-c2ccccc2)cc(=O)c2ccccc21""]","Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
RXN000021,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,"[""Cc1ccc(C(=O)C=C(Nc2ccccc2C(C)(C)C)c2ccccc2)c(Br)c1""]","[""Cc1ccc2c(=O)cc(-c3ccccc3)n(-c3ccccc3C(C)(C)C)c2c1""]","Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
RXN000022,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""none""]","[""NaOtBu""]","[""BASE""]","[""DCM"", ""Tol"", ""Hexane"", ""H2O""]",,,99.0,"[""Clc1ccc2ccccc2c1"", ""CNc1ccccc1""]","[""CN(c1ccccc1)c1ccc2ccccc2c1""]","Journal of Organometallic Chemistry (2024), 1011123124",Pd/none/NaOtBu/DCM+Tol+Hexane+H2O,AFBC562B,AFBC562B,3375-31-3 + 3058377-30-0 + 865-48-5 + 75-09-2 + 108-88-3 + 110-54-3 + 7732-18-5
RXN000023,Buchwald,[],"[""Pd""]","[""none""]","[""NaOtBu""]","[""BASE""]","[""Dioxane""]",,,99.0,"[""Clc1ccccc1Cl"", ""C=CCNc1ccc(-c2ccccc2)cc1""]","[""Cc1cn(-c2ccc(-c3ccccc3)cc2)c2ccccc12""]","Organic Letters (2024), 26(1), 22-28",Pd/none/NaOtBu/Dioxane,51ABD688,51ABD688,2873417-75-3 + 865-48-5 + 123-91-1
RXN000024,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,"[""CC(C)(C)c1ccccc1NC(=CC(=O)c1ccc(C(F)(F)F)cc1Br)c1ccccc1""]","[""CC(C)(C)c1ccccc1-n1c(-c2ccccc2)cc(=O)c2ccc(C(F)(F)F)cc21""]","Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
