record_index,RXN:VAR(1):CAS_Reaction_Number,RXN:RCT(1):CAS_RN,RXN:RCT(2):CAS_RN,RXN:RCT(3):CAS_RN,RXN:RCT(4):CAS_RN,RXN:PRO(1):CAS_RN,RXN:VAR(1):PRO(1):YIELD,RXN:VAR(1):REFERENCE(1):AUTHOR,RXN:VAR(1):REFERENCE(1):TITLE,RXN:VAR(1):REFERENCE(1):CITATION,RXN:VAR(1):NOTES,RXN:VAR(1):CAT(1):CAS_RN,RXN:VAR(1):CAT(2):CAS_RN,RXN:VAR(1):CAT(3):CAS_RN,RXN:VAR(1):CAT(4):CAS_RN,RXN:VAR(1):RGT(1):CAS_RN,RXN:VAR(1):RGT(2):CAS_RN,RXN:VAR(1):RGT(3):CAS_RN,RXN:VAR(1):RGT(4):CAS_RN,RXN:VAR(1):RGT(5):CAS_RN,RXN:VAR(1):RGT(6):CAS_RN,RXN:VAR(1):SOL(1):CAS_RN,RXN:VAR(1):SOL(2):CAS_RN,RXN:VAR(1):SOL(3):CAS_RN,RXN:VAR(1):SOL(4):CAS_RN,RXN:VAR(1):SOL(5):CAS_RN,yield_percent,year
1,31-614-CAS-41060573,57260-71-6,3082549-80-9,,,3082549-81-0,100,"Collie, Gavin W.; Borjesson, Ulf; Chen, Yunhua; Dong, Zhiqiang; Di",Fragment-Based Discovery of Novel MUS81 Inhibitors,"ACS Medicinal Chemistry Letters (2024), 15(7), 1151-1158",,52522-40-4,,,,534-17-8,98327-87-8,,,,,123-91-1,,,,,100,2024.0
2,31-614-CAS-35422570,34259-99-9,956804-32-3,,,2898500-70-2,100,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,100,2023.0
3,31-614-CAS-35422568,34259-99-9,2898500-40-6,,,2898500-67-7,100,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,100,2023.0
4,31-614-CAS-38853527,103-49-1,3025345-92-7,,,3025345-96-1,100,"Kawazoe, Machiko; Yasui, Motohiro; Yamada, Shigeyuki; Konno, Tsutomu",A first example of a palladium-catalyzed allylic substitution reaction at,"Journal of Fluorine Chemistry (2024), 273110234","76% isolated yield, alternative preparation shown",6163-58-2,52522-40-4,,,12125-02-9,,,,,,109-99-9,7732-18-5,,,,100,2024.0
5,31-614-CAS-38853526,110-91-8,3025345-92-7,,,3025345-97-2,100,"Kawazoe, Machiko; Yasui, Motohiro; Yamada, Shigeyuki; Konno, Tsutomu",A first example of a palladium-catalyzed allylic substitution reaction at,"Journal of Fluorine Chemistry (2024), 273110234",99% isolated yield,6163-58-2,52522-40-4,,,12125-02-9,,,,,,109-99-9,7732-18-5,,,,100,2024.0
6,31-614-CAS-35422551,18903-01-0,34259-99-9,,,2898500-55-3,100,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,100,2023.0
7,31-614-CAS-38853529,100-61-8,3025345-92-7,,,3025345-98-3,100,"Kawazoe, Machiko; Yasui, Motohiro; Yamada, Shigeyuki; Konno, Tsutomu",A first example of a palladium-catalyzed allylic substitution reaction at,"Journal of Fluorine Chemistry (2024), 273110234",99% isolated yield,6163-58-2,52522-40-4,,,12125-02-9,,,,,,109-99-9,7732-18-5,,,,100,2024.0
8,31-614-CAS-35422554,303-26-4,34259-99-9,,,2898500-54-2,100,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,100,2023.0
9,31-614-CAS-38625320,109-01-3,943541-45-5,,,3055441-00-1,100,"Heitmann, Tyler; Liao, Gangling; de Leon, Pablo; Ernst, Glen; Buchler,",Fragment-Based Screening Identifies New Quinazolinone-Based Inositol,"ACS Medicinal Chemistry Letters (2023), 14(12), 1760-1766",,51364-51-3,161265-03-8,,,534-17-8,,,,,,123-91-1,,,,,100,2023.0
10,31-614-CAS-35422543,14028-44-5,34259-99-9,,,2898500-52-0,100,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, reactant also recovered",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,100,2023.0
