reactant_smiles,product_smiles,catalyst,yield,reference,other_notes
O=N(=O)C1=CC=C(Br)C=C1.C1=CC=C(C2=NC=CN2)C=C1,O=N(=O)C1=CC=C(N2C=CN=C2C2=CC=CC=C2)C=C1,56-09-7 + CuBr,100,"2-Aminopyrimidine-4,6-diol as an efficient ligand for solvent-free | Journal of Organic Chemistry (2006), 71(21), 8324-8327",no solvent
NCC1=CC=CC=C1.O=C(O)C1=C(Cl)C=CC=C1,O=C(O)C1=C(NCC2=CC=CC=C2)C=CC=C1,Cu2O + Cu powder,99,"Regioselective copper-catalyzed C-N and C-S bond formation using amines, | Synthesis (2007), (22), 3519-3527",
O=C(O)C1=C(Cl)C=C(N(=O)=O)C=C1.COC1=CC=C(N)C=C1,COC1=CC=C(NC2=C(C(=O)O)C=CC(N(=O)=O)=C2)C=C1,Cu2O + Cu powder,99,"Regioselective Copper-Catalyzed Amination of Chlorobenzoic Acids: | Journal of Organic Chemistry (2006), 71(1), 142-149","chemoselective, regioselective"
O=C(O)C1=C(Cl)C=C(N(=O)=O)C=C1.COC1=CC=C(N)C=C1,COC1=CC=C(NC2=C(C(=O)O)C=CC(N(=O)=O)=C2)C=C1,7758-98-7,93,"Fast synthesis of substituted N-phenylanthranilic acids using Ullmann | Synthetic Communications (2006), 36(3), 271-277","microwave irradiation, Ullmann reaction, no solvent"
NC1=CC=CC(Cl)=C1.O=C(O)C1=C(Cl)C=CC=C1,O=C(O)C1=C(NC2=CC(Cl)=CC=C2)C=CC=C1,Cu2O + Cu powder,99,"Regioselective Copper-Catalyzed Amination of Chlorobenzoic Acids: | Journal of Organic Chemistry (2006), 71(1), 142-149","chemoselective, regioselective"
BrC1=CC=CC=C1.C1=CNC=N1,C1=CC=C(N2C=CN=C2)C=C1,123-54-6 + CuCl,99,"Aromatic amination of aryl bromides catalyzed by copper/Î²-diketone | Synlett (2006), (18), 3105-3109",
BrC1=CC=CC=C1.C1=CNC=N1,C1=CC=C(N2C=CN=C2)C=C1,NaI + 935547-46-9,94,"Highly Efficient Copper-Catalyzed N-Arylation of Nitrogen-Containing | Journal of Organic Chemistry (2007), 72(8), 2737-2743",other catalysts gave higher yield
BrC1=CC=CC=C1.C1=CNC=N1,C1=CC=C(N2C=CN=C2)C=C1,NaI,91,"Simple Copper Salt-Catalyzed N-Arylation of Nitrogen-Containing | Journal of Organic Chemistry (2007), 72(22), 8535-8538",
BrC1=CC=CC=C1.C1=CNC=N1,C1=CC=C(N2C=CN=C2)C=C1,phenanthroline + NaI,91,"Dinuclear Cu(I) Complexes of 1,2,4,5-Tetra(7-azaindolyl)benzene: | Inorganic Chemistry (2006), 45(15), 5830-5840","alternative preparation shown, alternative reaction conditions gave lower"
BrC1=CC=CC=C1.C1=CNC=N1,C1=CC=C(N2C=CN=C2)C=C1,Ethyl 2-oxocyclohexanecarboxylate + CuBr,87,"A Î²-Keto Ester as a Novel, Efficient, and Versatile Ligand for | Journal of Organic Chemistry (2007), 72(10), 3863-3867",
O=C(O)C1=C(Cl)C=CC=C1.CC1=CC(C)=CC(C2=CC(N)=CC=C2)=C1,CC1=CC(C)=CC(C2=CC(NC3=C(C(=O)O)C=CC=C3)=CC=C2)=C1,Cu2O + Cu powder,99,"Regioselective Copper-Catalyzed Amination of Chlorobenzoic Acids: | Journal of Organic Chemistry (2006), 71(1), 142-149","chemoselective, regioselective"
C1=CC=C2NC=CC2=C1.ClC1=CC=C(I)C=C1,ClC1=CC=C(N2C=CC3=CC=CC=C32)C=C1,524-38-9 + NaI,99,"N-Hydroxyimides as Efficient Ligands for the Copper-Catalyzed N-Arylation | Journal of Organic Chemistry (2007), 72(23), 8943-8946",
BrC1=CC=C(I)C=C1.NCCC1=C(Cl)C=CC=C1,ClC1=C(CCNC2=CC=C(Br)C=C2)C=CC=C1,NaI + 2-Isobutyrylcyclohexanone,99,"Highly Selective Room-Temperature Copper-Catalyzed C-N Coupling Reactions | Journal of the American Chemical Society (2006), 128(27), 8742-8743","chemoselective, Ullmann coupling, sealed tube used, in-situ generated"
CC1=CC=C(I)C=C1.NCCCCO,CC1=CC=C(NCCCCO)C=C1,NaI + 2-Isobutyrylcyclohexanone,99,"N- versus O-Arylation of Aminoalcohols: Orthogonal Selectivity in | Journal of the American Chemical Society (2007), 129(12), 3490-3491",
CC1=CC=C(I)C=C1.NCCCCCCO,CC1=CC=C(NCCCCCCO)C=C1,NaI + 2-Isobutyrylcyclohexanone,99,"N- versus O-Arylation of Aminoalcohols: Orthogonal Selectivity in | Journal of the American Chemical Society (2007), 129(12), 3490-3491",
NC1=CC=CC=C1.O=C(O)C1=CC=C(Br)C(C(=O)O)=C1,O=C(O)C1=CC(C(=O)O)=C(NC2=CC=CC=C2)C=C1,CuO + Cu powder,99,"Regioselective Copper-Catalyzed Amination of Bromobenzoic Acids Using | Journal of Organic Chemistry (2006), 71(8), 3270-3273",
C1=CNC=C1.NC1=CC=C(I)C=C1,NC1=CC=C(N2C=CC=C2)C=C1,6066-82-6 + NaI,98,"N-Hydroxyimides as Efficient Ligands for the Copper-Catalyzed N-Arylation | Journal of Organic Chemistry (2007), 72(23), 8943-8946",
IC1=CC=CC2=C1C=CC=C2.C1=CNC=C1,C1=CC2=C(C=C1)C(N1C=CC=C1)=CC=C2,6066-82-6 + NaI,98,"N-Hydroxyimides as Efficient Ligands for the Copper-Catalyzed N-Arylation | Journal of Organic Chemistry (2007), 72(23), 8943-8946",
O=C(O)C1=C(Cl)C=CC=C1.NC1=CC=C(C(=O)O)C=C1,O=C(O)C1=CC=C(NC2=C(C(=O)O)C=CC=C2)C=C1,Cu2O + Cu powder,98,"Regioselective Copper-Catalyzed Amination of Chlorobenzoic Acids: | Journal of Organic Chemistry (2006), 71(1), 142-149","chemoselective, regioselective"
NC1=CC=CC=C1.O=C(O)C1=C(Cl)C=CC=C1,O=C(O)C1=C(NC2=CC=CC=C2)C=CC=C1,7758-98-7,98,"Fast synthesis of substituted N-phenylanthranilic acids using Ullmann | Synthetic Communications (2006), 36(3), 271-277","microwave irradiation, Ullmann reaction, no solvent"
