ReactionID,ReactionType,CatalystCoreDetail,CatalystCoreGeneric,Ligand,FullCatalyticSystem,Reagent,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS,RawData,RCTName,PROName,RGTName,CATName,SOLName
31-117-CAS-22288687,Other,"[""4-(Dimethylamino)pyridine|1122-58-3""]",[],[],"[""4-(Dimethylamino)pyridine|1122-58-3""]","[""1-Ethyl-3-(3′-dimethylaminopropyl)carbodiimide|1892-57-5"", ""1-Hydroxybenzotriazole|2592-95-2""]","[""UNK""]","[""Dimethylformamide|68-12-2""]",35.0,0.75,80,COc1ccc(C(=CC(=O)O)Cc2ccccc2)cc1 . CCCN,CCCNC(=O)CC(=Cc1ccccc1)c1ccc(OC)cc1,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/1-Ethyl-3-(3′-dimethylaminopropyl)carbodiimide|1892-57-5+1-Hydroxybenzotriazole|2592-95-2/Dimethylformamide|68-12-2,,,RCT: 75-64-9 + 402-13-1 | PRO: 142641-24-5 | RGT: 1892-57-5 + 2592-95-2 | CAT: 1122-58-3 | SOL: 68-12-2,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""1-Ethyl-3-(3′-dimethylaminopropyl)carbodiimide"", ""1-Hydroxybenzotriazole""], ""catalysts"": [""4-(Dimethylamino)pyridine""], ""solvents"": [""Dimethylformamide""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-117-CAS-22288687"", ""1.1"", ""Reagents: 1-Ethyl-3-(3′-dimethylaminopropyl)carbodiimide, 1-Hydroxybenzotriazole"", ""Catalysts: 4-(Dimethylamino)pyridine"", ""Solvents: Dimethylformamide; 30 min, 0 °C"", ""1.2"", ""15 min, 0 °C; 35 °C"", ""56. Scheme 56 (1 Reaction)"", ""Discovery of HDAC6, HDAC8, and 6/8 Inhibitors and Development of Cell-Based Drug Screening Models for the Treatment of TGF-β-Induced Idiopathic Pulmonary Fibrosis"", ""By: Yu, Wei-Chieh; et al"", ""Journal of Medicinal Chemistry (2023), 66(15), 10528-10557."", ""10.1021/acs.jmedchem.3c00644"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""75-64-9"", ""402-13-1""], ""pro_cas"": [""142641-24-5""], ""rgt_cas"": [""1892-57-5"", ""2592-95-2""], ""cat_cas"": [""1122-58-3""], ""sol_cas"": [""68-12-2""], ""notes"": []}}","[""75-64-9"", ""402-13-1""]","[""142641-24-5""]","[""1892-57-5"", ""2592-95-2""]","[""1122-58-3""]","[""68-12-2""]"
31-356-CAS-22071800,Other,"[""4-(Dimethylamino)pyridine|1122-58-3""]",[],[],"[""4-(Dimethylamino)pyridine|1122-58-3""]","[""Triethylamine|121-44-8""]","[""BASE""]","[""Dichloromethane|75-09-2""]",40.0,30.0,82,COC(=O)[C@@H](N)CO.Cl . C(=NC1CCCCC1)=NC1CCCCC1 . O=C(O)/C=C/c1ccc(F)cc1,COC(=O)[C@H](CO)NC(=O)/C=C/c1ccc(F)cc1 . COC(=O)[C@H](COC(=O)/C=C/c1ccc(F)cc1)NC(=O)/C=C/c1ccc(F)cc1 . O=C(/C=C/c1ccc(F)cc1)OC(=NC1CCCCC1)NC1CCCCC1,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/Triethylamine|121-44-8/Dichloromethane|75-09-2,,,RCT: 154740-93-9 + 13515-97-4 | PRO: 3007690-41-4 | RGT: 121-44-8 | CAT: 1122-58-3 | SOL: 75-09-2,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""Triethylamine""], ""catalysts"": [""4-(Dimethylamino)pyridine""], ""solvents"": [""Dichloromethane""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-356-CAS-22071800"", ""1.1"", ""Reagents: Triethylamine"", ""Solvents: Dichloromethane; 2 h, 40 °C; 0.5 h, 40 °C"", ""1.2"", ""Catalysts: 4-(Dimethylamino)pyridine"", ""Solvents: Dichloromethane; 30 min, 40 °C; 2 h, 40 °C; 24 h, rt; 1 h, 5 °C"", ""88. Scheme 88 (1 Reaction)"", ""Nonpeptidic Oxazole Based Prolyl Oligopeptidase Ligands with Disease Modifying Effects on alpha Synuclein Mouse Models of Parkinson Disease"", ""By: Kilpelainen, Tommi P.; et al"", ""Journal of Medicinal Chemistry (2023), 66(11), 7475-7496."", ""10.1021/acs.jmedchem.3c00235"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""154740-93-9"", ""13515-97-4""], ""pro_cas"": [""3007690-41-4""], ""rgt_cas"": [""121-44-8""], ""cat_cas"": [""1122-58-3""], ""sol_cas"": [""75-09-2""], ""notes"": []}}","[""154740-93-9"", ""13515-97-4""]","[""3007690-41-4""]","[""121-44-8""]","[""1122-58-3""]","[""75-09-2""]"
31-356-CAS-22071801,Other,"[""4-(Dimethylamino)pyridine|1122-58-3""]",[],[],"[""4-(Dimethylamino)pyridine|1122-58-3""]","[""Triethylamine|121-44-8"", ""Dicyclohexylcarbodiimide|538-75-0""]","[""BASE""]","[""Dichloromethane|75-09-2""]",40.0,30.0,82,COC(=O)[C@@H](N)CO.Cl . COc1ccc(/C=C/C(=O)O)cc1,COC(=O)[C@H](CO)NC(=O)/C=C/c1ccc(OC)cc1 . COC(=O)[C@H](COC(=O)/C=C/c1ccc(OC)cc1)NC(=O)/C=C/c1ccc(OC)cc1,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/Dicyclohexylcarbodiimide|538-75-0+Triethylamine|121-44-8/Dichloromethane|75-09-2,,,RCT: 51293-47-1 + 34017-27-1 | PRO: 2387522-85-0 | RGT: 121-44-8 + 538-75-0 | CAT: 1122-58-3 | SOL: 75-09-2,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""Triethylamine"", ""Dicyclohexylcarbodiimide""], ""catalysts"": [""4-(Dimethylamino)pyridine""], ""solvents"": [""Dichloromethane""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-356-CAS-22071801"", ""1.1"", ""Reagents: Triethylamine"", ""Solvents: Dichloromethane; 2 h, 40 °C; 0.5 h, 40 °C"", ""1.2"", ""Reagents: Dicyclohexylcarbodiimide"", ""Catalysts: 4-(Dimethylamino)pyridine"", ""Solvents: Dichloromethane; 30 min, 40 °C; 2 h, 40 °C; 24 h, rt; 1 h, 5 °C"", ""90. Scheme 90 (1 Reaction)"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Discovery of novel tripeptide propylene oxide proteasome inhibitors for the treatment of multiple myeloma"", ""By: Zhang, Wen; et al"", ""Bioorganic & Medicinal Chemistry (2021), 40, 116182."", ""10.1016/j.bmc.2021.116182"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""51293-47-1"", ""34017-27-1""], ""pro_cas"": [""2387522-85-0""], ""rgt_cas"": [""121-44-8"", ""538-75-0""], ""cat_cas"": [""1122-58-3""], ""sol_cas"": [""75-09-2""], ""notes"": []}}","[""51293-47-1"", ""34017-27-1""]","[""2387522-85-0""]","[""121-44-8"", ""538-75-0""]","[""1122-58-3""]","[""75-09-2""]"
31-356-CAS-22071802,Other,"[""4-(Dimethylamino)pyridine|1122-58-3""]",[],[],"[""4-(Dimethylamino)pyridine|1122-58-3""]","[""Triethylamine|121-44-8""]","[""BASE""]","[""Dichloromethane|75-09-2""]",40.0,30.0,85,COC(=O)[C@@H](N)CO.Cl . C(=NC1CCCCC1)=NC1CCCCC1 . Cc1ccc(/C=C/C(=O)O)cc1,Cc1ccc(/C=C/C(=O)OC(=NC2CCCCC2)NC2CCCCC2)cc1 . COC(=O)[C@H](CO)NC(=O)/C=C/c1ccc(C)cc1 . COC(=O)[C@H](COC(=O)/C=C/c1ccc(C)cc1)NC(=O)/C=C/c1ccc(C)cc1,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/Triethylamine|121-44-8/Dichloromethane|75-09-2,,,RCT: 103365-47-5 + 74-89-5 | PRO: 2734274-03-2 | RGT: 121-44-8 | CAT: 1122-58-3 | SOL: 75-09-2,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""Triethylamine""], ""catalysts"": [""4-(Dimethylamino)pyridine""], ""solvents"": [""Dichloromethane""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-356-CAS-22071802"", ""1.1"", ""Reagents: Triethylamine"", ""Solvents: Dichloromethane; 2 h, 40 °C; 0.5 h, 40 °C"", ""1.2"", ""Catalysts: 4-(Dimethylamino)pyridine"", ""Solvents: Dichloromethane; 30 min, 40 °C; 2 h, 40 °C; 24 h, rt; 1 h, 5 °C"", ""54. Scheme 54 (1 Reaction)"", ""Absolute stereochemistry shown,"", ""Rotation (-)"", ""Absolute stereochemistry shown"", ""Discovery of Nanomolar DCAF1 Small Molecule Ligands"", ""By: Li, Alice Shi Ming; et al"", ""Journal of Medicinal Chemistry (2023), 66(7), 5041-5060."", ""10.1021/acs.jmedchem.2c02132"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""103365-47-5"", ""74-89-5""], ""pro_cas"": [""2734274-03-2""], ""rgt_cas"": [""121-44-8""], ""cat_cas"": [""1122-58-3""], ""sol_cas"": [""75-09-2""], ""notes"": []}}","[""103365-47-5"", ""74-89-5""]","[""2734274-03-2""]","[""121-44-8""]","[""1122-58-3""]","[""75-09-2""]"
31-367-CAS-21607035,Other,[],[],[],[],"[""7087-68-5|7087-68-5"", ""148893-10-1|148893-10-1"", ""Diisopropylethylamine|"", ""O-(7-Azabenzotriazol-1-yl)-N|"", ""N|"", ""N′|"", ""N′-tetramethyluronium hexafluorophosphate|""]","[""BASE""]","[""Tetrahydrofuran|109-99-9""]",0.0,16.0,95,N#CCC(=O)O . Cn1cc(Nc2cc(-c3cccc(N)c3)ncn2)cn1,Cn1cc(Nc2cc(-c3cccc(NC(=O)CC#N)c3)ncn2)cn1,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/148893-10-1|148893-10-1+7087-68-5|7087-68-5+Diisopropylethylamine|+N|+N′-tetramethyluronium hexafluorophosphate|+N′|+O-(7-Azabenzotriazol-1-yl)-N|/Tetrahydrofuran|109-99-9,,,RCT: 2387522-91-8 + 247068-85-5 | PRO: 2387523-05-7 | RGT: 7087-68-5 + 148893-10-1 | SOL: 109-99-9,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""Diisopropylethylamine"", ""O-(7-Azabenzotriazol-1-yl)-N"", ""N"", ""N′"", ""N′-tetramethyluronium hexafluorophosphate""], ""catalysts"": [], ""solvents"": [""Tetrahydrofuran""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-367-CAS-21607035"", ""1.1"", ""Reagents: Diisopropylethylamine, O-(7-Azabenzotriazol-1-yl)-N,N,N′,N′-tetramethyluronium hexafluorophosphate"", ""Solvents: Tetrahydrofuran; 0 °C; 16 h, rt"", ""482. Scheme 482 (1 Reaction)"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Discovery of novel tripeptide propylene oxide proteasome inhibitors for the treatment of multiple myeloma"", ""By: Zhang, Wen; et al"", ""Bioorganic & Medicinal Chemistry (2021), 40, 116182."", ""10.1016/j.bmc.2021.116182"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2387522-91-8"", ""247068-85-5""], ""pro_cas"": [""2387523-05-7""], ""rgt_cas"": [""7087-68-5"", ""148893-10-1""], ""cat_cas"": [], ""sol_cas"": [""109-99-9""], ""notes"": []}}","[""2387522-91-8"", ""247068-85-5""]","[""2387523-05-7""]","[""7087-68-5"", ""148893-10-1""]",[],"[""109-99-9""]"
31-367-CAS-21822005,Other,"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]",[],[],"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]","[""Triethylamine|121-44-8""]","[""BASE""]","[""Dichloromethane|75-09-2""]",25.0,0.25,80,Cc1ccccc1NC(=O)C=CC(=O)O . NC1Cc2ccccc2NC1=O,Cc1ccccc1NC(=O)C=CC(=O)NC1Cc2ccccc2NC1=O,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/Triethylamine|121-44-8/Dichloromethane|75-09-2,,,RCT: 13734-36-6 + 2561412-98-2 | PRO: 2755959-76-1 | RGT: 121-44-8 | CAT: 122-52-1 + 7553-56-2 | SOL: 75-09-2,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""Triethylamine""], ""catalysts"": [""Triethyl phosphite"", ""Iodine""], ""solvents"": [""Dichloromethane""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-367-CAS-21822005"", ""1.1"", ""Reagents: Triethylamine"", ""Catalysts: Triethyl phosphite, Iodine"", ""Solvents: Dichloromethane; 15 min, cooled"", ""1.2"", ""cooled; rt"", ""380. Scheme 380 (1 Reaction)"", ""Discovery of a potent dual inhibitor of wild-type and mutant respiratory syncytial virus fusion proteins through the modulation of atropisomer interconversion properties"", ""By: Yamaguchi-Sasaki, Toru; et al"", ""Bioorganic & Medicinal Chemistry (2020), 28(24), 115818."", ""10.1016/j.bmc.2020.115818"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""13734-36-6"", ""2561412-98-2""], ""pro_cas"": [""2755959-76-1""], ""rgt_cas"": [""121-44-8""], ""cat_cas"": [""122-52-1"", ""7553-56-2""], ""sol_cas"": [""75-09-2""], ""notes"": []}}","[""13734-36-6"", ""2561412-98-2""]","[""2755959-76-1""]","[""121-44-8""]",[],"[""75-09-2""]"
31-367-CAS-21822006,Other,"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]",[],[],"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]","[""Triethylamine|121-44-8""]","[""BASE""]","[""Dichloromethane|75-09-2""]",25.0,1.25,82,Cc1cccc(NC(=O)C=CC(=O)O)c1 . NC1Cc2ccccc2NC1=O,Cc1cccc(NC(=O)C=CC(=O)NC2Cc3ccccc3NC2=O)c1,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/Triethylamine|121-44-8/Dichloromethane|75-09-2,,,RCT: 37904-03-3 + 40615-17-6 | PRO: 2416338-25-3 | RGT: 121-44-8 | CAT: 122-52-1 + 7553-56-2 | SOL: 75-09-2,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""Triethylamine""], ""catalysts"": [""Triethyl phosphite"", ""Iodine""], ""solvents"": [""Dichloromethane""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-367-CAS-21822006"", ""1.1"", ""Reagents: Triethylamine"", ""Catalysts: Triethyl phosphite, Iodine"", ""Solvents: Dichloromethane; 15 min, cooled"", ""1.2"", ""cooled; rt"", ""383. Scheme 383 (1 Reaction)"", ""Design, synthesis and biological evaluation of novel 3,4-dihydro-2(1H)-quinolinone derivatives as potential chitin synthase inhibitors and antifungal agents"", ""By: Li, Baihui; et al"", ""European Journal of Medicinal Chemistry (2020), 195, 112278."", ""10.1016/j.ejmech.2020.112278"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""37904-03-3"", ""40615-17-6""], ""pro_cas"": [""2416338-25-3""], ""rgt_cas"": [""121-44-8""], ""cat_cas"": [""122-52-1"", ""7553-56-2""], ""sol_cas"": [""75-09-2""], ""notes"": []}}","[""37904-03-3"", ""40615-17-6""]","[""2416338-25-3""]","[""121-44-8""]",[],"[""75-09-2""]"
31-367-CAS-21822007,Other,"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]",[],[],"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]","[""Triethylamine|121-44-8""]","[""BASE""]","[""Dichloromethane|75-09-2""]",25.0,0.25,80,Cc1ccc(NC(=O)C=CC(=O)O)cc1 . NC1Cc2ccccc2NC1=O,Cc1ccc(NC(=O)C=CC(=O)NC2Cc3ccccc3NC2=O)cc1,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/Triethylamine|121-44-8/Dichloromethane|75-09-2,,,RCT: 1798794-71-4 + 2247616-84-6 | PRO: 2763636-79-7 | RGT: 121-44-8 | CAT: 122-52-1 + 7553-56-2 | SOL: 75-09-2,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""Triethylamine""], ""catalysts"": [""Triethyl phosphite"", ""Iodine""], ""solvents"": [""Dichloromethane""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-367-CAS-21822007"", ""1.1"", ""Reagents: Triethylamine"", ""Catalysts: Triethyl phosphite, Iodine"", ""Solvents: Dichloromethane; 15 min, cooled"", ""1.2"", ""cooled; rt"", ""384. Scheme 384 (1 Reaction)"", ""Discovery and Preclinical Characterization of BIIB091, a Reversible, Selective BTK Inhibitor for the Treatment of Multiple Sclerosis"", ""By: Hopkins, Brian T.; et al"", ""Journal of Medicinal Chemistry (2022), 65(2), 1206-1224."", ""10.1021/acs.jmedchem.1c00926"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""1798794-71-4"", ""2247616-84-6""], ""pro_cas"": [""2763636-79-7""], ""rgt_cas"": [""121-44-8""], ""cat_cas"": [""122-52-1"", ""7553-56-2""], ""sol_cas"": [""75-09-2""], ""notes"": []}}","[""1798794-71-4"", ""2247616-84-6""]","[""2763636-79-7""]","[""121-44-8""]",[],"[""75-09-2""]"
31-367-CAS-21822009,Other,"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]",[],[],"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]","[""Triethylamine|121-44-8""]","[""BASE""]","[""Dichloromethane|75-09-2""]",25.0,1.25,81,COc1ccc(NC(=O)C=CC(=O)O)cc1 . NC1Cc2ccccc2NC1=O,COc1ccc(NC(=O)C=CC(=O)NC2Cc3ccccc3NC2=O)cc1,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/Triethylamine|121-44-8/Dichloromethane|75-09-2,,,RCT: 326914-22-1 + 40615-17-6 | PRO: 2416338-34-4 | RGT: 121-44-8 | CAT: 122-52-1 + 7553-56-2 | SOL: 75-09-2,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""Triethylamine""], ""catalysts"": [""Triethyl phosphite"", ""Iodine""], ""solvents"": [""Dichloromethane""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-367-CAS-21822009"", ""1.1"", ""Reagents: Triethylamine"", ""Catalysts: Triethyl phosphite, Iodine"", ""Solvents: Dichloromethane; 15 min, cooled"", ""1.2"", ""cooled; rt"", ""465. Scheme 465 (1 Reaction)"", ""Design, synthesis and biological evaluation of novel 3,4-dihydro-2(1H)-quinolinone derivatives as potential chitin synthase inhibitors and antifungal agents"", ""By: Li, Baihui; et al"", ""European Journal of Medicinal Chemistry (2020), 195, 112278."", ""10.1016/j.ejmech.2020.112278"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""326914-22-1"", ""40615-17-6""], ""pro_cas"": [""2416338-34-4""], ""rgt_cas"": [""121-44-8""], ""cat_cas"": [""122-52-1"", ""7553-56-2""], ""sol_cas"": [""75-09-2""], ""notes"": []}}","[""326914-22-1"", ""40615-17-6""]","[""2416338-34-4""]","[""121-44-8""]",[],"[""75-09-2""]"
31-367-CAS-21822012,Other,"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]",[],[],"[""Triethyl phosphite|122-52-1"", ""Iodine|7553-56-2""]","[""Triethylamine|121-44-8""]","[""BASE""]","[""Dichloromethane|75-09-2""]",25.0,0.25,83,O=C(O)C=CC(=O)Nc1ccc([N+](=O)[O-])cc1 . NC1Cc2ccccc2NC1=O,O=C(C=CC(=O)NC1Cc2ccccc2NC1=O)Nc1ccc([N+](=O)[O-])cc1,"Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846. | Reddyrajula, Rajkumar; et al | Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846.",none/none/Triethylamine|121-44-8/Dichloromethane|75-09-2,,,RCT: 33305-77-0 + 1515293-47-6 | PRO: 2938349-12-1 | RGT: 121-44-8 | CAT: 122-52-1 + 7553-56-2 | SOL: 75-09-2,"{""txt"": {""title"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""authors"": ""Reddyrajula, Rajkumar; et al"", ""citation"": ""Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126846."", ""reagents"": [""Triethylamine""], ""catalysts"": [""Triethyl phosphite"", ""Iodine""], ""solvents"": [""Dichloromethane""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-367-CAS-21822012"", ""1.1"", ""Reagents: Triethylamine"", ""Catalysts: Triethyl phosphite, Iodine"", ""Solvents: Dichloromethane; 15 min, cooled"", ""1.2"", ""cooled; rt"", ""459. Scheme 459 (1 Reaction)"", ""Absolute stereochemistry shown,"", ""Rotation (+)"", ""Absolute stereochemistry shown"", ""Synthesis and Structural Characterization of Macrocyclic Plasmin Inhibitors"", ""By: Wiedemeyer, Simon J. A.; et al"", ""ChemMedChem (2023), 18(6), e202200632."", ""10.1002/cmdc.202200632"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""33305-77-0"", ""1515293-47-6""], ""pro_cas"": [""2938349-12-1""], ""rgt_cas"": [""121-44-8""], ""cat_cas"": [""122-52-1"", ""7553-56-2""], ""sol_cas"": [""75-09-2""], ""notes"": []}}","[""33305-77-0"", ""1515293-47-6""]","[""2938349-12-1""]","[""121-44-8""]",[],"[""75-09-2""]"
