ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Base,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS,RCTName,PROName,RGTName,CATName,SOLName,BASName
31-614-CAS-35485659,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],[],65.0,0.367,76,NNc1ccccc1 . CCOC(=O)CC(C)=O . N#CCC#N . O=Cc1cccc(F)c1,Cc1nn(-c2ccccc2)c2c1C(c1cccc(F)c1)C(C#N)=C(N)O2,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 111-49-9 + 32779-38-7 | PRO: 1599583-79-5 | CAT: 142-71-2 + 2903480-90-8,"[""111-49-9"", ""32779-38-7""]","[""1599583-79-5""]",[],"[""142-71-2"", ""2903480-90-8""]",[],[]
31-614-CAS-35485668,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],[],65.0,0.317,82,NNc1ccccc1 . CCOC(=O)CC(C)=O . O=Cc1ccccc1Cl . N#CCC#N,Cc1nn(-c2ccccc2)c2c1C(c1ccccc1Cl)C(C#N)=C(N)O2,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 108-86-1 + 1547036-10-1 | PRO: 3038178-93-4 | CAT: 142-71-2 + 2903480-90-8,"[""108-86-1"", ""1547036-10-1""]","[""3038178-93-4""]",[],"[""142-71-2"", ""2903480-90-8""]",[],[]
31-614-CAS-35485670,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],[],65.0,0.333,78,NNc1ccccc1 . CCOC(=O)CC(C)=O . N#CCC#N . O=Cc1ccc(Br)cc1,Cc1nn(-c2ccccc2)c2c1C(c1ccc(Br)cc1)C(C#N)=C(N)O2,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 100-63-0 + 104-88-1 + 109-77-3 | PRO: 111510-09-9 | CAT: 142-71-2 + 2903480-90-8,"[""100-63-0"", ""104-88-1"", ""109-77-3""]","[""111510-09-9""]",[],"[""142-71-2"", ""2903480-90-8""]",[],[]
31-614-CAS-35485672,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],[],65.0,0.25,76,NNc1ccccc1 . N#CCC#N . O=Cc1ccc(F)cc1,N#Cc1c(-c2ccc(F)cc2)nn(-c2ccccc2)c1N,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 120-72-9 + 352-34-1 | PRO: 138900-16-0 | CAT: 142-71-2 + 2903480-90-8,"[""120-72-9"", ""352-34-1""]","[""138900-16-0""]",[],"[""142-71-2"", ""2903480-90-8""]",[],[]
31-614-CAS-35485673,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],[],65.0,0.15,87,NNc1ccccc1 . N#CCC#N . O=Cc1ccc(Br)cc1,N#Cc1c(-c2ccc(Br)cc2)nn(-c2ccccc2)c1N,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 106-37-6 + 288-32-4 | PRO: 25372-07-0 | CAT: 142-71-2 + 2903480-90-8,"[""106-37-6"", ""288-32-4""]","[""25372-07-0""]",[],"[""142-71-2"", ""2903480-90-8""]",[],[]
31-614-CAS-35485675,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],[],65.0,0.117,78,NNc1ccccc1 . O=Cc1ccc(Cl)cc1 . N#CCC#N,N#Cc1c(-c2ccc(Cl)cc2)nn(-c2ccccc2)c1N,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 108-86-1 + 288-32-4 | PRO: 7164-98-9 | CAT: 142-71-2 + 2903480-90-8,"[""108-86-1"", ""288-32-4""]","[""7164-98-9""]",[],"[""142-71-2"", ""2903480-90-8""]",[],[]
31-614-CAS-35838761,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Potassium hydroxide""]","[""Dimethyl sulfoxide""]",100.0,54.0,95,c1c[nH]cn1 . Ic1ccccc1,c1ccc(-n2ccnc2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 1003-29-8 + 591-50-4 | PRO: 30186-39-1 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""1003-29-8"", ""591-50-4""]","[""30186-39-1""]","[""1310-58-3""]","[""1317-39-1"", ""12018-79-0"", ""25233-30-1""]","[""67-68-5""]","[""Potassium hydroxide""]"
31-614-CAS-35838763,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Potassium hydroxide""]","[""Dimethyl sulfoxide""]",100.0,2.0,86,C1COCCN1 . Ic1ccccc1,c1ccc(N2CCOCC2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 104-92-7 + 288-32-4 | PRO: 10040-95-6 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""104-92-7"", ""288-32-4""]","[""10040-95-6""]","[""1310-58-3""]","[""1317-39-1"", ""12018-79-0"", ""25233-30-1""]","[""67-68-5""]","[""Potassium hydroxide""]"
31-614-CAS-35838764,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Potassium hydroxide""]","[""Dimethyl sulfoxide""]",100.0,1.0,91,c1c[nH]cn1 . O=[N+]([O-])c1ccc(I)cc1,O=[N+]([O-])c1ccc(-n2ccnc2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 552-89-6 + 15310-01-7 | PRO: 72367-19-2 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""552-89-6"", ""15310-01-7""]","[""72367-19-2""]","[""1310-58-3""]","[""1317-39-1"", ""12018-79-0"", ""25233-30-1""]","[""67-68-5""]","[""Potassium hydroxide""]"
31-614-CAS-35838765,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Potassium hydroxide""]","[""Dimethyl sulfoxide""]",100.0,6.0,82,c1c[nH]cn1 . COc1ccc(I)cc1,COc1ccc(-n2ccnc2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 626-55-1 + 2761091-68-1 | PRO: 2761091-81-8 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""626-55-1"", ""2761091-68-1""]","[""2761091-81-8""]","[""1310-58-3""]","[""1317-39-1"", ""12018-79-0"", ""25233-30-1""]","[""67-68-5""]","[""Potassium hydroxide""]"
31-614-CAS-35838770,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Potassium hydroxide""]","[""Dimethyl sulfoxide""]",100.0,2.0,81,C1CCNCC1 . Ic1ccccc1,c1ccc(N2CCCCC2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 32779-36-5 + 70931-28-1 | PRO: 1294463-19-6 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""32779-36-5"", ""70931-28-1""]","[""1294463-19-6""]","[""1310-58-3""]","[""1317-39-1"", ""12018-79-0"", ""25233-30-1""]","[""67-68-5""]","[""Potassium hydroxide""]"
31-614-CAS-35838775,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Potassium hydroxide""]","[""Dimethyl sulfoxide""]",100.0,4.0,79,c1cc[nH]c1 . Ic1ccccc1,c1ccc(-n2cccc2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 591-17-3 + 675-20-7 | PRO: 78648-32-5 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""591-17-3"", ""675-20-7""]","[""78648-32-5""]","[""1310-58-3""]","[""1317-39-1"", ""12018-79-0"", ""25233-30-1""]","[""67-68-5""]","[""Potassium hydroxide""]"
31-614-CAS-35838776,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Potassium hydroxide""]","[""Dimethyl sulfoxide""]",100.0,4.0,95,OCCNCCO . Ic1ccccc1,OCCN(CCO)c1ccccc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 109-77-3 + 10282-57-2 | PRO: 1312710-99-8 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""109-77-3"", ""10282-57-2""]","[""1312710-99-8""]","[""1310-58-3""]","[""1317-39-1"", ""12018-79-0"", ""25233-30-1""]","[""67-68-5""]","[""Potassium hydroxide""]"
31-614-CAS-35838783,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Potassium hydroxide""]","[""Dimethyl sulfoxide""]",100.0,3.0,93,c1c[nH]cn1 . O=[N+]([O-])c1ccc(Br)cc1,O=[N+]([O-])c1ccc(-n2ccnc2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 123-75-1 + 62802-38-4 | PRO: 446286-61-9 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""123-75-1"", ""62802-38-4""]","[""446286-61-9""]","[""1310-58-3""]","[""1317-39-1"", ""12018-79-0"", ""25233-30-1""]","[""67-68-5""]","[""Potassium hydroxide""]"
31-614-CAS-35838784,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Potassium hydroxide""]","[""Dimethyl sulfoxide""]",100.0,4.0,84,O=[N+]([O-])c1ccc(Cl)cc1 . c1c[nH]cn1,O=[N+]([O-])c1ccc(-n2ccnc2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 591-50-4 + 136630-39-2 | PRO: 444796-09-2 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""591-50-4"", ""136630-39-2""]","[""444796-09-2""]","[""1310-58-3""]","[""1317-39-1"", ""12018-79-0"", ""25233-30-1""]","[""67-68-5""]","[""Potassium hydroxide""]"
